sid,session_code,mk_session,prolific_id,participant_code,round_nb,role,player,dyad,manipulation,trial_payoff,responded,sent_amount,offer_response,rt,mean_social_dominance,mean_aggresive_dominance
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,1,proposer,1,p1p2,dominant,5,1,10,1,6177.9,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,2,responder,1,p1p3,submissive,10,1,10,1,6807.8,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,3,proposer,1,p1p4,dominant,5,1,10,1,2416.2,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,4,proposer,1,p1p5,submissive,5,1,10,1,3098.4,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,5,responder,1,p1p6,dominant,7,1,7,1,4740.1,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,6,responder,1,p1p2,dominant,10.0,1,10,1.0,4349.9,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,7,proposer,1,p1p3,dominant,5,1,10,1,3941.8,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,8,responder,1,p1p4,submissive,10,1,10,1,2978.0,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,9,responder,1,p1p5,submissive,8,1,8,1,2372.5,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,10,proposer,1,p1p6,submissive,5,1,10,1,2247.6,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,11,proposer,1,p1p2,submissive,5,1,10,1,2450.4,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,12,responder,1,p1p3,dominant,7,1,7,1,2659.6,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,13,proposer,1,p1p4,submissive,5,1,10,1,2205.8,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,14,proposer,1,p1p5,dominant,5,1,10,1,6710.8,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,15,responder,1,p1p6,submissive,10,1,10,1,5595.0,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,16,responder,1,p1p2,submissive,10,1,10,1,2217.8,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,17,proposer,1,p1p3,submissive,5,1,10,1,2837.9,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,18,responder,1,p1p4,dominant,10,1,10,1,10745.5,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,19,responder,1,p1p5,dominant,10,1,10,1,4294.4,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,665d9797303623aeb81d13d2,odegsytd,20,proposer,1,p1p6,dominant,5,1,10,1,4826.1,5.5,4.714285714285714
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,1,responder,2,p1p2,submissive,10,1,10,1,4574.0,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,2,proposer,2,p2p5,dominant,0,1,5,0,9672.4,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,3,proposer,2,p2p6,dominant,9,1,6,1,5034.8,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,4,responder,2,p2p4,submissive,10,1,10,1,8077.3,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,5,proposer,2,p2p3,dominant,7,1,8,1,5273.0,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,6,proposer,2,p1p2,submissive,5.0,1,10,1.0,6678.0,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,7,responder,2,p2p5,dominant,8,1,8,1,6028.3,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,8,responder,2,p2p6,submissive,7,1,7,1,5269.8,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,9,proposer,2,p2p4,dominant,8,1,7,1,4377.9,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,10,responder,2,p2p3,submissive,7,1,7,1,6767.4,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,11,responder,2,p1p2,dominant,10,1,10,1,4526.1,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,12,proposer,2,p2p5,submissive,8,1,7,1,3716.8,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,13,proposer,2,p2p6,submissive,7,1,8,1,3219.5,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,14,responder,2,p2p4,dominant,8,1,8,1,7144.3,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,15,proposer,2,p2p3,submissive,8,1,7,1,3076.3,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,16,proposer,2,p1p2,dominant,5,1,10,1,2869.9,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,17,responder,2,p2p5,submissive,8,1,8,1,4141.9,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,18,responder,2,p2p6,submissive,7,1,7,1,4308.8,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,19,proposer,2,p2p4,submissive,8,1,7,1,4990.0,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,6512ae672f906eda39b7e9db,6l6sdfbr,20,responder,2,p2p3,dominant,7,1,7,1,4475.4,3.75,2.4285714285714284
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,123123,5htytebn,1,proposer,3,p3p4,submissive,0,1,10,0,15956.9,1.0,1.0
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,123123,5htytebn,2,proposer,3,p1p3,dominant,5,1,10,1,8053.9,1.0,1.0
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,123123,5htytebn,3,responder,3,p3p5,dominant,6,1,6,1,4624.3,1.0,1.0
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,123123,5htytebn,4,proposer,3,p3p6,submissive,0,1,6,0,1226.7,1.0,1.0
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,123123,5htytebn,5,responder,3,p2p3,submissive,8,1,8,1,3115.4,1.0,1.0
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,123123,5htytebn,6,responder,3,p3p4,dominant,,0,10,,13756.6,1.0,1.0
ultimatum_game,dogizqxo,mk:Ultimatum_Game_Pilot4:1,123123,5htytebn,7,responder,3,p1p3,submissive,10,1,10,1,2116.7,1.0,1.0
